time_millisecond_,latitude,longitude,height_above_takeoff_feet_,height_above_ground_at_drone_location_feet_,ground_elevation_at_drone_location_feet_,altitude_above_seaLevel_feet_,height_sonar_feet_,speed_mph_,distance_feet_,mileage_feet_,satellites,gpslevel,max_altitude_feet_,max_ascent_feet_,max_speed_mph_,max_distance_feet_,xSpeed_mph_,ySpeed_mph_,zSpeed_mph_,compass_heading_degrees_,pitch_degrees_,roll_degrees_,isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator_percent_,rc_aileron_percent_,rc_throttle_percent_,rc_rudder_percent_,gimbal_heading_degrees_,gimbal_pitch_degrees_,altitude_feet_,ascent_feet_,flycStateRaw,flycState
5800,51.5195072403508,5.86064875957663,0,0,95.681252405632,95.681252405632,0.328084,0,0.71931760832,1.09467851272,15,5,95.681252405632,0,0,0.71931760832,0,0,-0.447388,265.3,-1.1,-0.3,0,0,1024,1024,1413,1024,0,0,59,0,0,0,95.681252405632,0,6,P-GPS
5900,51.5195072036718,5.86064859007556,0.328084,0.328084,95.681252405632,96.009336405632,0.656168,0.223694,0.75640422368,1.13541998384,15,5,96.009336405632,0.328084,0.223694,0.75640422368,0,-0.223694,-1.342164,265.3,-0.5,0.1,0,0,1024,1024,1414,1024,0,0,59,0,0,0,96.009336405632,0.328084,6,P-GPS
6000,51.5195071456796,5.86064835687332,0.328084,0.328084,95.681252405632,96.009336405632,0.984252,0.223694,0.80982286056,1.19243442136,15,5,96.009336405632,0.328084,0.223694,0.80982286056,0,-0.223694,-2.23694,265.3,0.1,0.3,0,0,1024,1024,1409,1024,0,0,58,0,0,0,96.009336405632,0.328084,6,P-GPS
6100,51.5195070911886,5.86064806878471,0.984252,0.984252,95.681252405632,96.665504405632,1.312336,0.223694,0.87243441112,1.2607940036,15,5,96.665504405632,0.984252,0.223694,0.87243441112,0,-0.223694,-3.131716,265.3,0.8,-0.1,0,0,1024,1024,1401,1024,0,0,57,0,0,0,96.665504405632,0.984252,6,P-GPS
6200,51.5195070146029,5.86064776948916,1.312336,1.312336,95.681252405632,96.993588405632,1.64042,0.223694,0.94283467584,1.33426185372,15,5,96.993588405632,1.312336,0.223694,0.94283467584,0,-0.223694,-3.579104,265.3,1.4,0.1,0,0,1024,1024,1340,1024,0,0,48,0,0,0,96.993588405632,1.312336,6,P-GPS
6300,51.5195069675115,5.86064743204794,1.968504,1.968504,95.681252405632,97.649756405632,2.296588,0.223694,1.0141568566,1.41277563576,15,5,97.649756405632,1.968504,0.223694,1.0141568566,0,-0.223694,-4.250186,265.2,2.9,0.6,0,0,1024,1024,1037,1024,0,0,2,0,0,0,97.649756405632,1.968504,6,P-GPS
6400,51.519506940297,5.86064708506138,2.624672,2.624672,95.681252405632,98.305924405632,2.952756,0.223694,1.08414701632,1.49217196376,15,5,98.305924405632,2.624672,0.223694,1.08414701632,0,-0.223694,-4.47388,265.2,3.2,0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,98.305924405632,2.624672,6,P-GPS
6500,51.5195070332681,5.86064669855969,3.28084,3.28084,95.681252405632,98.962092405632,3.608924,0.223694,1.14008533832,1.58624676992,15,5,98.962092405632,3.28084,0.223694,1.14008533832,0,-0.223694,-4.250186,265.2,2.9,0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,98.962092405632,3.28084,6,P-GPS
6600,51.5195070173289,5.86064640752521,3.608924,3.608924,95.681252405632,99.290176405632,4.265092,0.223694,1.20032484156,1.6525755122,15,5,99.290176405632,3.608924,0.223694,1.20032484156,0,-0.223694,-3.35541,265.3,3.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,99.290176405632,3.608924,6,P-GPS
6700,51.5195069262468,5.86064611842166,4.265092,4.265092,95.681252405632,99.946344405632,4.593176,0.223694,1.27384190428,1.72614178752,15,5,99.946344405632,4.265092,0.223694,1.27384190428,0,-0.223694,-2.460634,265.3,3.7,1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,99.946344405632,4.265092,6,P-GPS
6800,51.5195068065594,5.86064580960615,4.593176,4.593176,95.681252405632,100.27442840563,4.92126,0.223694,1.35633534524,1.80874021536,15,5,100.27442840563,4.593176,0.223694,1.35633534524,0,-0.223694,-1.565858,265.4,3.4,1.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,100.27442840563,4.593176,6,P-GPS
6900,51.5195067851714,5.8606456666239,4.593176,4.593176,95.681252405632,100.27442840563,5.249344,0.223694,1.38851382396,1.8421260432,15,5,100.27442840563,4.593176,0.223694,1.38851382396,0,-0.223694,-0.894776,265.4,3.9,0.4,0,0,1024,959,1024,1024,0,-10,0,0,0,0,100.27442840563,4.593176,6,P-GPS
