time_millisecond_,latitude,longitude,height_above_takeoff_feet_,height_above_ground_at_drone_location_feet_,ground_elevation_at_drone_location_feet_,altitude_above_seaLevel_feet_,height_sonar_feet_,speed_mph_,distance_feet_,mileage_feet_,satellites,gpslevel,max_altitude_feet_,max_ascent_feet_,max_speed_mph_,max_distance_feet_,xSpeed_mph_,ySpeed_mph_,zSpeed_mph_,compass_heading_degrees_,pitch_degrees_,roll_degrees_,isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator_percent_,rc_aileron_percent_,rc_throttle_percent_,rc_rudder_percent_,gimbal_heading_degrees_,gimbal_pitch_degrees_,altitude_feet_,ascent_feet_,flycStateRaw,flycState
6800,51.5197583300027,5.86038606018297,0,0,95.967098215304,95.967098215304,0.328084,0,0.10914370428,0.8394357224,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.1,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
6900,51.5197582396632,5.86038602318535,0,0,95.967098215304,95.967098215304,0.328084,0,0.13568077862,0.87345147152,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.1,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
7000,51.5197582278284,5.86038603556349,0,0,95.967098215304,95.967098215304,0.328084,0,0.136552169724,0.87860239032,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.1,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
7100,51.5197582243175,5.86038604883827,0,0,95.967098215304,95.967098215304,0.328084,0,0.135300529264,0.88187666864,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
7200,51.5197582228869,5.8603860615718,0,0,95.967098215304,95.967098215304,0.328084,0,0.133652891416,0.88481302044,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.1,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
7300,51.5197582869752,5.86038600893391,0,0,95.967098215304,95.967098215304,0.328084,0,0.127497051324,0.9110728638,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
7400,51.5197582641615,5.86038601805597,0,0,95.967098215304,95.967098215304,0.328084,0,0.130813324396,0.9196522604,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
7500,51.5197582120252,5.86038602810821,0,0,95.967098215304,95.967098215304,0.328084,0,0.141799217136,0.93880908516,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
7600,51.5197581766049,5.86038603682841,0,0,95.967098215304,95.967098215304,0.328084,0,0.149919952304,0.95188323256,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
7700,51.5197581254889,5.86038599907959,0,0,95.967098215304,95.967098215304,0.328084,0,0.169723758712,0.9724081676,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.1,2.3,0.1,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
